State/UT,Year,Mode,Total
Andhra Pradesh,2013,Pedestrian,960
Andhra Pradesh,2013,Three Wheeler,1684
Andhra Pradesh,2013,Truck/Lorry,2907
Andhra Pradesh,2013,Two Wheeler,3097
Andhra Pradesh,2014,Bicycle,49
Andhra Pradesh,2014,Bus,519
Andhra Pradesh,2014,Car,1009
Andhra Pradesh,2014,Jeep,158
Andhra Pradesh,2014,Other Motor Vehicles,542
Andhra Pradesh,2014,Others,411
Andhra Pradesh,2014,Pedestrian,335
Andhra Pradesh,2014,Three Wheeler,1063
Andhra Pradesh,2014,Truck/Lorry,1903
Andhra Pradesh,2014,Two Wheeler,1919
Arunachal Pradesh,2001,Bicycle,0
Arunachal Pradesh,2001,Bus,8
Arunachal Pradesh,2001,Car,0
Arunachal Pradesh,2001,Jeep,4
Arunachal Pradesh,2001,Other Motor Vehicles,4
Arunachal Pradesh,2001,Others,0
Arunachal Pradesh,2001,Pedestrian,1
Arunachal Pradesh,2001,Three Wheeler,0
Arunachal Pradesh,2001,Truck/Lorry,35
Arunachal Pradesh,2001,Two Wheeler,8
Arunachal Pradesh,2002,Bicycle,0
Arunachal Pradesh,2002,Bus,6
Arunachal Pradesh,2002,Car,0
Arunachal Pradesh,2002,Jeep,15
Arunachal Pradesh,2002,Other Motor Vehicles,2
Arunachal Pradesh,2002,Others,0
Arunachal Pradesh,2002,Pedestrian,0
Arunachal Pradesh,2002,Three Wheeler,1
Arunachal Pradesh,2002,Truck/Lorry,74
Arunachal Pradesh,2002,Two Wheeler,16
Arunachal Pradesh,2003,Bicycle,1
Arunachal Pradesh,2003,Bus,44
Arunachal Pradesh,2003,Car,0
Arunachal Pradesh,2003,Jeep,15
Arunachal Pradesh,2003,Other Motor Vehicles,3
Arunachal Pradesh,2003,Others,0
Arunachal Pradesh,2003,Pedestrian,0
Arunachal Pradesh,2003,Three Wheeler,5
Arunachal Pradesh,2003,Truck/Lorry,55
Arunachal Pradesh,2003,Two Wheeler,12
Arunachal Pradesh,2004,Bicycle,1
Arunachal Pradesh,2004,Bus,77
Arunachal Pradesh,2004,Car,5
Arunachal Pradesh,2004,Jeep,5
Arunachal Pradesh,2004,Other Motor Vehicles,7
